t(s)	total_voltage(V)
12950	3.8509151
12960	3.8506204
12970	3.8503264
12980	3.8500332
12990	3.8497407
13000	3.849449
13010	3.8491581
13020	3.8488678
13030	3.8485784
13040	3.8482897
13050	3.8480017
13060	3.8477145
13070	3.847428
13080	3.8471423
13090	3.8468573
13100	3.846573
13110	3.8462895
13120	3.8460068
13130	3.8457247
13140	3.8454435
13150	3.8451629
13160	3.8448831
13170	3.844604
13180	3.8443256
13190	3.844048
13200	3.8437711
13210	3.8434949
13220	3.8432194
13230	3.8429447
13240	3.8426706
13250	3.8423973
13260	3.8421246
13270	3.8418527
13280	3.8415814
13290	3.8413109
13300	3.841041
13310	3.8407718
13320	3.8405033
13330	3.8402355
13340	3.8399683
13350	3.8397018
13360	3.8394359
13370	3.8391708
13380	3.8389062
13390	3.8386423
13400	3.8383791
13410	3.8381165
13420	3.8378545
13430	3.8375931
13440	3.8373324
13450	3.8370723
13460	3.8368128
13470	3.8365538
13480	3.8362955
13490	3.8360378
13500	3.8357807
13510	3.8355241
13520	3.8352682
13530	3.8350128
13540	3.8347579
13550	3.8345036
13560	3.8342499
13570	3.8339967
13580	3.8337441
13590	3.833492
13600	3.8332404
13610	3.8329893
13620	3.8327388
13630	3.8324888
13640	3.8322393
13650	3.8319902
13660	3.8317417
13670	3.8314936
13680	3.8312461
13690	3.830999
13700	3.8307524
13710	3.8305062
13720	3.8302605
13730	3.8300152
13740	3.8297704
13750	3.829526
13760	3.8292821
13770	3.8290385
13780	3.8287954
13790	3.8285527
13800	3.8283104
13810	3.8280685
13820	3.827827
13830	3.8275859
13840	3.8273452
13850	3.8271049
13860	3.8268649
13870	3.8266252
13880	3.826386
13890	3.8261471
13900	3.8259085
13910	3.8256703
13920	3.8254324
13930	3.8251948
13940	3.8249576
13950	3.8247206
13960	3.824484
13970	3.8242477
13980	3.8240117
13990	3.8237759
14000	3.8235405
14010	3.8233053
14020	3.8230704
14030	3.8228358
14040	3.8226015
14050	3.8223674
14060	3.8221335
14070	3.8218999
14080	3.8216666
14090	3.8214335
14100	3.8212006
14110	3.8209679
14120	3.8207355
14130	3.8205033
14140	3.8202712
14150	3.8200394
14160	3.8198078
14170	3.8195764
14180	3.8193452
14190	3.8191141
14200	3.8188832
14210	3.8186525
14220	3.818422
14230	3.8181916
14240	3.8179614
14250	3.8177314
14260	3.8175014
14270	3.8172717
14280	3.8170421
14290	3.8168126
14300	3.8165832
14310	3.816354
14320	3.8161248
14330	3.8158958
14340	3.815667
14350	3.8154382
14360	3.8152095
14370	3.8149809
14380	3.8147524
14390	3.814524
14400	3.8142957
14410	3.8140674
14420	3.8138393
14430	3.8136112
14440	3.8133832
14450	3.8131552
14460	3.8129273
14470	3.8126995
14480	3.8124717
14490	3.8122439
14500	3.8120162
14510	3.8117886
14520	3.8115609
14530	3.8113333
14540	3.8111058
14550	3.8108782
14560	3.8106507
14570	3.8104232
14580	3.8101957
14590	3.8099682
14600	3.8097407
14610	3.8095133
14620	3.8092858
14630	3.8090583
14640	3.8088308
14650	3.8086034
14660	3.8083758
14670	3.8081483
14680	3.8079208
14690	3.8076932
14700	3.8074656
14710	3.807238
14720	3.8070103
14730	3.8067826
14740	3.8065549
14750	3.8063271
14760	3.8060993
14770	3.8058714
14780	3.8056435
14790	3.8054155
14800	3.8051875
14810	3.8049594
14820	3.8047313
14830	3.804503
14840	3.8042748
14850	3.8040464
14860	3.803818
14870	3.8035895
14880	3.8033609
14890	3.8031322
14900	3.8029035
14910	3.8026747
14920	3.8024457
14930	3.8022167
14940	3.8019876
14950	3.8017584
14960	3.8015291
14970	3.8012998
14980	3.8010703
14990	3.8008407
15000	3.800611
15010	3.8003811
15020	3.8001512
15030	3.7999212
15040	3.799691
15050	3.7994608
15060	3.7992304
15070	3.7989999
15080	3.7987693
15090	3.7985385
15100	3.7983077
15110	3.7980767
15120	3.7978455
15130	3.7976143
15140	3.7973829
15150	3.7971514
15160	3.7969197
15170	3.7966879
15180	3.796456
15190	3.7962239
15200	3.7959917
15210	3.7957593
15220	3.7955268
15230	3.7952941
15240	3.7950613
15250	3.7948283
15260	3.7945952
15270	3.794362
15280	3.7941286
15290	3.793895
15300	3.7936613
15310	3.7934274
15320	3.7931933
15330	3.7929591
15340	3.7927248
15350	3.7924902
15360	3.7922555
15370	3.7920207
15380	3.7917857
15390	3.7915505
15400	3.7913151
