t(s)	total_current(A)
147370	-0.05
147460	-0.05
147550	-0.05
147640	-0.05
147730	-0.05
147820	-0.05
147910	-0.05
148000	-0.05
148090	-0.05
148180	-0.05
148270	-0.05
148360	-0.05
148450	-0.05
148540	-0.05
148630	-0.05
148720	-0.05
148810	-0.05
148900	-0.05
148990	-0.05
149080	-0.05
149170	-0.05
149260	-0.05
149350	-0.05
149440	-0.05
149530	-0.05
149620	-0.05
149710	-0.05
149800	-0.05
149890	-0.05
149980	-0.05
150070	-0.05
150160	-0.05
150250	-0.05
150340	-0.05
150430	-0.05
150520	-0.05
150610	-0.05
150700	-0.05
150790	-0.05
150880	-0.05
150970	-0.05
151060	-0.05
151150	-0.05
151240	-0.05
151330	-0.05
151420	-0.05
151510	-0.05
151600	-0.05
151690	-0.05
151780	-0.05
151870	-0.05
151960	-0.05
152050	-0.05
152140	-0.05
152230	-0.05
152320	-0.05
152410	-0.05
152500	-0.05
152590	-0.05
152680	-0.05
152770	-0.05
152860	-0.05
152950	-0.05
153040	-0.05
153130	-0.05
153220	-0.05
153310	-0.05
153400	-0.05
153490	-0.05
153580	-0.05
153670	-0.05
153760	-0.05
153850	-0.05
153940	-0.05
154030	-0.05
154120	-0.05
154210	-0.05
154300	-0.05
154390	-0.05
154480	-0.05
154570	-0.05
154660	-0.05
154750	-0.05
154840	-0.05
154930	-0.05
155020	-0.05
155110	-0.05
155200	-0.05
155290	-0.05
